contrast-1-0,correlation-1-0,dissimilarity-1-0,contrast-1-45,correlation-1-45,dissimilarity-1-45,contrast-1-90,correlation-1-90,dissimilarity-1-90,contrast-1-135,correlation-1-135,dissimilarity-1-135,Class
12.10938898,0.99598282,1.27512227,25.62536193,0.99151108,1.79321555,19.38689962,0.99357113,1.48763736,23.7283746,0.9921395,1.77686865,1
21.60708252,0.99620798,1.75013692,39.11689681,0.99314432,2.32746715,27.18542027,0.99523071,1.89617931,36.61383817,0.99358301,2.28419221,1
9.77340592,0.99700315,0.98479782,15.23942609,0.99533367,1.25833618,8.10635572,0.99751518,0.93748842,16.58415184,0.99492192,1.30500683,1
22.93126523,0.99385139,1.71803743,37.55137113,0.98994567,2.17558184,26.56400674,0.99288013,1.75159935,36.50177029,0.9902267,2.16274075,1
18.19653106,0.99526651,1.46991191,33.11104222,0.99139898,1.89179526,23.4061246,0.99391377,1.4927248,32.85210725,0.99146624,1.87782613,1
10.25454542,0.99629972,1.10746822,18.09687027,0.99347913,1.45413192,13.86412096,0.99499941,1.17816822,20.34199643,0.99267014,1.47845235,1
16.11682712,0.99538299,1.42232867,31.01281212,0.99112845,1.85646874,22.65970915,0.99351128,1.49665275,29.18712298,0.9916507,1.8272228,1
18.49444599,0.99414916,1.53410318,32.40175348,0.98976375,1.98069007,22.78542297,0.99279486,1.60087472,31.79865099,0.98995427,1.98474637,1
16.65418749,0.99521126,1.42838602,32.18281558,0.99075948,1.98124443,25.17070973,0.99276536,1.64323721,34.81183783,0.99000462,1.97612384,1
9.88635487,0.99658819,1.1433591,19.56111204,0.99325895,1.51882993,13.76657419,0.99525113,1.21627863,17.85499302,0.9938469,1.50569138,1
26.15922853,0.99464576,1.85770735,55.04584973,0.9887491,2.58000861,44.02615292,0.99099246,2.15704485,57.83416681,0.98817919,2.58580333,1
13.67001643,0.99538572,1.25599949,30.37619878,0.98976181,1.79660352,25.04173548,0.99155085,1.49346949,32.83335555,0.98893364,1.78772215,1
24.28073992,0.99385701,1.67737743,52.83175814,0.98665307,2.40313842,42.05137208,0.98936576,2.01625972,53.85730511,0.98639399,2.38844881,1
17.61626014,0.99672129,1.50855472,38.29735201,0.99288216,2.15627771,28.38745138,0.99471854,1.77412335,36.25980804,0.99326085,2.08422813,1
19.83293992,0.99403354,1.53667191,41.4975189,0.98753403,2.0950546,30.934037,0.99069762,1.73071328,39.90523707,0.98801236,2.10356703,1
21.64531457,0.99543717,1.57028912,36.01100223,0.9924197,2.08296875,26.85109273,0.99434188,1.70144462,40.03732956,0.99157216,2.07726289,1
